43,Legend,"org ranked or local, world champion",,,,,,1070.5,
,Larger Opponent - over 48 kg,Kard Chuek,,,,,,,
,TKO/KO win,amateur rules,,,,,,,
Result,Opponent,Note,Kg,Rd,Date,Video,Location,rules,details
W,Nang Hong Liangprasert,Decision,55,5,"10/11/2019
",254,"Anusarn Ring, Chiang Mai, Thailand",Muay Thai,
W,"Nam Tip Sor Anucha
",TKO,55,4,10/9/2019,253,"Anusarn Ring, Chiang Mai, Thailand",Muay Thai,
D,Rungarun Suan Nongnoocha Pattaya,Decision,54,,9/27/2019,252,"Lopburi, Thailand",Kard Chuek,
L,Gulappit Ayumuaythai Gym,Decision,55,3,9/22/2019,251,"JF Boxing Muay Thai Stadium, Pattaya, Thailand",Muay Thai (mod),"3 two minute rounds, ""MAX"" style clinch breaks, opponent last minute replacement"
W,Nam Tip Sor Anucha,Decision,55,5,9/13/2019,250,"Anusarn Ring, Chiang Mai, Thailand",,
W,Phetnamneung R.R. Gilalampang,TKO,52,2,9/11/2019,249,"Chiang Mai Boxing Stadium, Thailand",,
W,Nang Hong Liangprasert,Decision,55,5,8/30/2019,248,"Anusarn Ring, Chiang Mai, Thailand",Muay Thai,
L,Palmy A. Santipunt-Lamphun,Decision,54,5,8/28/2019,247,"Anusarn Ring, Chiang Mai, Thailand",Muay Thai,
W,Jomkwan Sit Tongsak,Decision,50,5,8/24/2019,246,"Hua Hin Muay Thai Stadium, Hua Hin, Thailand",Muay Thai,"Was supposed to fight Phetnaree, found out fighting Jomkwan 10 minutes before the fight"
W,Palmy A. Santipunt-Lamphun,Decision,54,5,7/29/2019,245,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"Palmy had just been awarded the Northern Female Fighter of the Year, earlier in the day"
W,Jomkwan Sit Tongsak,KO,50,4,7/27/2019,244,"Hua Hin Muay Thai Stadium, Hua Hin, Thailand",Muay Thai,rematching
W,Palmy A. Santipunt-Lamphun,TKO,55,4,6/27/2019,243,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"cut, but prevailed with a TKO by knees"
L,Hongthong Liangprasert,Decision,58,5,6/6/2019,242,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,A much contested decision
W,Nong Benz Sakchatree Gym (Sitdobwad),TKO,48,3,11/2019,241,"Chiang Rai, Thailand",Muay Thai,"IPCC 48 kg World Title (she weighed in at 47.7 kg, I weighed in at 46 kg my walk around weight)"
W,Hongthong Liangprasert,Decision,58,5,4/24/219,240,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,giving up about 12 kg
W,Nam Tip Sor Anucha,TKO,51.5,3,4/22/2019,239,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"weighed in at 46, opponent 51.5 kg before the fight"
W,Sangmanee Sor. Prasongchai,Decision,53,5,4/14/2019,238,"Wat Chang Glua, Trat, Thailand",Muay Thai,"opponent was supposed to be 48 kg, turns out she was 53 hahaha"
L,Palmy A. Santipunt-Lamphun,Decision,54,5,3/21/2019,237,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,weighed in at 45.5 before the fight
W,Petngerntong Grungtep-Thonburi,TKO,46,4,3/15/2019,236,"Nakhom Pathom, Thailand",Kard Chuek,"one of maybe 5 fights I've fought so far, as the larger fighter. 1 kg advantage"
W,Palmy A. Santipunt-Lamphun,Decision,54,5,3/10/2019,235,"San Sai, Thailand",Muay Thai,vs the 118 lb Northern Champion
W,Nong Benz Sakchatree Gym (Sitdobwad),KO,52.5,4,2/27/2019,234,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"6 kg difference on weigh-in, only my 2nd right hand KO ever"
W,Darphet Lampang University,TKO,59,3,2/1/2019,233,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,59 kg at weigh in
L,Thanonchanok Kaewsamrit,Decision,52.5,5,1/14/2019,232,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"weighed in at 46.5, she at 52.5 - she had just retaken back her WPMF 51 kg Championship belt in Japan, in December"
L,Nong Benz Sakchatree Gym (Sitdobwad),Decision,53,5,12/22/2018,231,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,our Queens of the North Promotion - fought on 3 days of fever
W,Nang Hong Liangprasert,TKO,54.5,4,11/26/2018,230,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,2nd fight of the day
